Time;x;y;z;acc;;W+-10;lumen
2;-0,86;0,51;-0,22;1,04;;22,6;13
505;-0,82;0,57;-0,19;1,03;;22,6;13
1010;-0,8;0,53;-0,19;0,95;;22,6;13
1515;-0,85;0,57;-0,17;1,08;6,61;22,6;12
2020;-0,79;0,59;-0,2;1,01;6,14;22,6;12
2524;-0,79;0,54;-0,14;0,93;5,26;22,6;12
3028;-0,61;0,44;-0,05;0,57;6,96;22,71;15
3533;-0,65;0,36;-0,16;0,57;6,46;22,6;22
4038;-0,05;0,35;-0,18;0,15;7,32;22,6;14
4542;-1,46;0,64;-0,34;2,65;7,02;22,6;11
5047;-0,58;0,11;0,48;0,58;7,82;22,6;7
5552;-1,05;0,86;0,12;1,87;7,38;22,6;6
6056;0,26;0,53;0,53;0,63;7,52;22,71;6
6560;-1,02;0,57;0,01;1,37;4,95;22,6;5
7065;-0,28;0,14;0,19;0,13;4,55;22,6;5
7570;-0,46;0,24;-0,14;0,29;2,94;22,6;5
8074;0,07;0,23;0,13;0,08;2,46;22,6;5
8579;0;0,2;-0,38;0,18;1,99;22,6;5
9083;-0,43;-0,07;0,27;0,26;2,03;22,6;5
9587;-0,22;-0,11;-0,31;0,15;6,03;22,6;5
10092;-0,06;0,93;0,15;0,9;6,52;22,6;5
10597;-0,11;0,05;-0,4;0,17;6,35;22,6;4
11101;-1,71;1,14;0,25;4,29;19,79;22,6;4
11606;-0,65;0,04;0,38;0,57;19,9;22,6;3
12110;-0,04;-0,07;-0,03;0,01;19,05;22,6;3
12615;-2,57;2,35;1,26;13,7;18,96;22,6;3
13119;-0,14;0,22;-0,44;0,26;14,73;22,6;3
13624;-0,2;0;0,11;0,05;21,62;22,6;3
14129;0,01;-0,13;-0,26;0,08;21,66;22,6;4
14633;0,24;0,05;0,03;0,06;13,02;22,6;7
15137;-1,99;1,87;0,1;7,46;12,81;22,6;5
15642;-0,12;0;0,19;0,05;19,81;22,6;4
16147;-1,74;1,42;0,12;5,06;19,75;22,6;4
16651;0,02;-0,07;0,22;0,05;25,06;22,6;4
17156;-2,12;1,57;0,35;7,05;17,63;22,6;4
17660;-0,05;-0,04;0,13;0,02;45,2;22,6;4
18165;-2,01;1,02;0,53;5,37;40,24;22,6;3
18669;0,01;-0,16;0,09;0,03;41,95;22,6;4
19174;-4,32;2,99;-0,17;27,62;34,94;22,6;4
19679;-0,3;-0,08;-0,07;0,1;39,41;22,6;4
20184;-0,98;0,79;0,44;1,76;34,05;22,6;4
20687;-0,08;0,13;-0,15;0,04;34,36;22,6;11
21192;-1,61;1,37;0,15;4,49;6,86;22,6;17
21697;-0,11;-0,04;0;0,01;6,86;22,6;19
22202;-0,13;0,4;0,41;0,34;6,61;22,6;36
22706;-0,13;0,31;-0,07;0,12;6,81;22,6;26
23211;-0,29;0,02;0,13;0,1;2,58;22,6;21
23715;-1,16;0,4;0,1;1,51;2,57;22,48;12
24220;-0,23;0,3;0,32;0,24;2,23;22,48;11
24725;-0,48;0,01;0,19;0,26;2,34;22,48;8
;;;;;;;
Time;x;y;z;acc;;temp;lumen
3;-0,43;0,06;-0,21;0,23;;22,6;38
506;-0,23;1,45;-0,5;2,4;;22,6;35
1011;0,05;0,25;0,28;0,14;;22,6;37
1516;-4,4;2,12;-0,91;24,62;42,95;22,6;37
2020;0,01;-0,05;-0,19;0,04;67,07;22,6;29
2525;-2,92;2,43;1,03;15,49;64,72;22,6;21
3030;0,12;0,09;-0,11;0,03;66,95;22,6;10
3534;-4,42;1,99;-0,93;24,35;42,36;22,6;9
4038;0,19;-0,03;0,1;0,05;45,89;22,6;9
4543;-1,49;0,35;-0,2;2,37;31,5;22,6;7
5048;0,01;-0,02;0,17;0,03;31,6;22,6;7
5552;-1,17;1,47;-0,23;3,57;7,35;22,6;6
6056;-0,28;-0,16;-1;1,1;7,46;22,6;7
6561;-0,31;0,01;0,17;0,13;12,42;22,6;5
7066;-0,19;0,24;0,1;0,1;12,4;22,6;6
7570;-0,26;0,29;-0,09;0,16;13,93;22,6;5
8075;-2,42;1,2;0,22;7,33;13,11;22,6;6
8580;-0,05;-0,07;-0,03;0,01;14,66;22,6;5
9083;-2,15;0,23;0,65;5,1;14,59;22,6;5
9588;0,08;0,02;-0,53;0,28;17,49;22,6;4
10093;-1,05;0,75;-0,05;1,68;10,94;22,6;3
10597;-0,07;-0,1;-0,12;0,03;12,98;22,6;3
11102;-1,66;0,55;-0,09;3,06;8,24;22,6;3
11607;0,64;0,61;-0,03;0,78;9,2;22,6;3
12111;-1,01;0,93;-0,4;2,05;7,64;22,6;3
12615;-0,38;0,2;0,42;0,36;8,13;22,6;3
13120;-1,03;0,3;-0,31;1,24;5,16;22,6;3
13625;0,2;0,07;0,28;0,12;4,96;22,6;3
14129;-0,38;0,5;-0,35;0,52;2,96;22,6;3
14633;-0,27;0,12;0,09;0,09;3,78;22,6;3
15138;-0,68;0,02;-0,36;0,58;2,59;22,6;3
15643;0,21;-0,01;-0,01;0,05;7,95;22,6;4
16147;-0,58;0,79;-0,46;1,18;7,5;22,6;4
16652;-0,14;0,11;0,14;0,05;16,91;22,6;4
17157;-2,08;0,92;0,56;5,48;16,39;22,6;6
17661;0,01;0,02;0,27;0,07;38,31;22,6;27
18165;-2,66;1,47;-0,52;9,5;37,25;22,6;50
18670;-0,17;0,03;0,17;0,06;51,26;22,6;35
19175;-3,65;2,63;-1,32;21,97;45,79;22,6;29
19680;0,06;-0,07;0,33;0,12;47,18;22,6;35
20185;-3,6;1,03;-0,17;14,06;38,1;22,6;22
20688;-0,01;-0,09;0,07;0,01;39,02;22,6;17
21193;-1,18;0,07;-0,27;1,46;17,05;22,6;39
21698;-0,37;0,51;0,17;0,42;16,93;22,6;36
22203;-0,88;0,44;-0,09;0,98;2,87;22,6;29
