Time;x;y;z;acc;temp;lumen
2;-0,93;0,41;0,03;1,03;22,71;0,00
505;-0,91;0,41;0,05;0,99;22,71;0,00
1010;-0,91;0,43;0,05;1,01;22,71;0,00
1515;-0,92;0,43;0,03;1,02;22,71;1,00
2019;-0,93;0,37;0,01;1,00;22,71;0,00
2524;-0,86;0,59;0,03;1,10;22,71;0,00
3028;-0,86;0,45;0,07;0,96;22,71;0,00
3532;-0,87;0,37;-0,00;0,90;22,71;0,00
4037;-0,74;0,61;-0,07;0,93;22,71;0,00
4542;-0,74;0,21;-0,41;0,75;22,82;0,00
5047;-1,11;0,53;0,10;1,52;22,82;0,00
5551;-0,81;0,50;0,12;0,92;22,71;0,00
6055;-0,90;0,25;-0,00;0,87;22,82;0,00
6560;-0,68;0,37;-0,05;0,60;22,71;0,00
7064;-1,01;0,40;-0,05;1,19;22,71;0,00
7569;-0,66;0,24;-0,47;0,71;22,71;0,00
8074;-1,53;0,38;-0,14;2,50;22,71;0,00
8578;-1,10;0,58;0,10;1,56;22,71;0,00
9082;-0,76;0,38;0,12;0,74;22,71;0,00
9587;-0,85;0,15;0,01;0,74;22,71;0,00
10092;-0,59;0,38;-0,08;0,50;22,71;0,00
10596;-1,14;0,25;-0,01;1,37;22,71;0,00
11101;-0,96;0,41;-0,37;1,22;22,82;0,00
11606;-0,93;0,26;-0,43;1,12;22,82;0,00
12110;-1,22;0,77;0,03;2,08;22,71;0,00
12614;-1,31;0,45;0,10;1,94;22,71;0,00
13119;-1,20;0,54;0,17;1,76;22,71;0,00
13624;-0,85;0,52;0,10;1,00;22,71;0,00
14129;-0,96;0,27;0,01;0,99;22,71;0,00
14632;-0,83;0,44;0,00;0,89;22,71;0,00
15137;-0,77;0,16;-0,05;0,62;22,71;0,00
15642;-0,63;0,49;-0,00;0,64;22,71;0,00
16147;-0,61;0,14;-0,00;0,39;22,71;0,00
16651;-0,43;0,27;-0,09;0,26;22,71;0,00
17156;-0,55;0,14;-0,05;0,33;22,71;0,00
17660;-0,43;0,36;0,00;0,32;22,71;0,00
18165;-0,76;0,19;0,05;0,62;22,71;0,00
18669;-0,85;0,51;0,03;0,98;22,71;0,00
19174;-1,17;0,56;-0,03;1,67;22,71;0,00
19679;-1,00;0,44;-0,38;1,32;22,71;0,00
20184;-0,76;0,35;-0,70;1,19;22,71;0,00
20687;-0,76;0,32;-0,44;0,87;22,71;0,00
21192;-1,55;0,32;-0,32;2,62;22,71;0,00
21697;-1,30;0,73;0,12;2,23;22,82;0,00
22202;-1,19;0,43;0,21;1,65;22,71;0,00
22706;-1,22;0,57;0,15;1,84;22,71;0,00
23211;-0,80;0,53;0,10;0,92;22,71;0,00
23715;-0,77;0,37;0,05;0,74;22,71;0,00
24220;-0,76;0,43;-0,03;0,76;22,71;0,00
24724;-0,63;0,23;0,05;0,46;22,71;0,00
25229;-0,93;0,64;-0,01;1,26;22,71;0,00
25734;-0,80;0,44;-0,32;0,93;22,71;0,00
26238;-0,83;0,44;-0,50;1,13;22,71;0,00
26742;-1,26;0,58;0,11;1,94;22,71;0,00
27247;-1,01;0,41;0,09;1,20;22,71;0,00
27752;-0,81;0,42;0,05;0,82;22,71;0,00
28257;-0,75;0,21;-0,01;0,61;22,71;0,00
28761;-0,68;0,44;0,05;0,65;22,71;0,00
29265;-1,21;0,38;0,01;1,61;22,71;0,00
29770;-0,88;0,62;-0,58;1,50;22,71;0,00
30275;-0,86;0,28;-0,40;0,97;22,71;0,00
30779;-1,29;0,76;-0,14;2,25;22,71;0,00
31284;-1,23;0,61;0,01;1,88;22,71;0,00
31789;-1,16;0,69;0,20;1,86;22,71;1,00
32293;-1,06;0,57;0,05;1,47;22,71;1,00
32797;-0,90;0,47;0,05;1,03;22,71;2,00
33302;-0,74;0,53;0,05;0,83;22,60;2,00
33807;-0,83;0,28;-0,03;0,77;22,60;2,00
34312;-0,64;0,40;-0,07;0,58;22,71;2,00
34816;-0,63;0,25;-0,10;0,47;22,60;3,00
35320;-0,68;0,50;0,03;0,70;22,60;4,00
35825;-1,09;0,40;0,00;1,35;22,71;5,00
36330;-0,60;0,36;-0,49;0,72;22,71;5,00
36834;-0,30;0,29;-0,09;0,18;22,71;5,00
37339;-1,00;0,67;-0,00;1,44;22,60;5,00
37843;-0,91;0,44;0,12;1,04;22,60;6,00
38348;-0,90;0,44;0,03;1,00;22,60;6,00
38852;-0,86;0,43;0,09;0,92;22,60;6,00
39357;-0,83;0,67;-0,05;1,14;22,60;7,00
39862;-1,25;0,56;-0,44;2,07;22,60;7,00
40367;-1,04;0,35;0,10;1,21;22,71;7,00
40870;-0,74;0,38;0,10;0,71;22,60;7,00
41375;-0,93;0,21;-0,00;0,92;22,60;7,00
41880;-0,71;0,31;-0,03;0,60;22,71;6,00
42385;-0,83;0,28;-0,11;0,78;22,71;7,00
42889;-0,89;0,60;0,01;1,16;22,71;6,00
43394;-0,72;0,23;-0,40;0,73;22,71;7,00
43898;-1,38;0,86;-0,26;2,72;22,71;5,00
44403;-1,24;0,48;0,11;1,77;22,60;6,00
44907;-0,99;0,57;0,13;1,32;22,60;5,00
45412;-0,72;0,37;0,09;0,66;22,71;6,00
45917;-0,68;0,19;0,00;0,49;22,71;6,00
46422;-0,50;0,27;-0,03;0,33;22,60;5,00
46925;-0,88;0,20;-0,05;0,82;22,60;6,00
47430;-0,81;0,58;-0,26;1,05;22,60;7,00
47935;-1,27;0,37;-0,30;1,84;22,60;7,00
48440;-1,19;0,62;0,15;1,83;22,60;7,00
48945;-0,96;0,53;0,12;1,22;22,60;6,00
49448;-0,74;0,40;0,07;0,72;22,60;6,00
49953;-0,81;0,52;-0,00;0,92;22,60;6,00
50458;-1,07;0,24;0,12;1,22;22,60;6,00
50963;-0,91;0,53;-0,00;1,11;22,60;7,00
